
g1.1,g1.2,g1.3,g1.4,g1.5,g2.1,g2.2,g2.3,g2.4,g3.1,g3.2,g3.3,g3.4,g4.1,g4.2,g4.3
q,70941.64799152956,39260.32541048238,50819.435539974926,1436.4284229475568,308.59315614722846,0.07678571428571429,0.33333333333333337,0.1484375,0.15051020408163263,6.843173634543302,0.1418650793650794,0.15000000000000002,0.13571428571428573,11.144171137108316,3.7005163973618758,112.78928571428571
p,212824.94397458868,117780.97623144712,152458.30661992476,4309.28526884267,925.7794684416854,0.23035714285714287,1.0,0.4453125,0.45153061224489777,20.5295209036299,0.4255952380952381,0.44999999999999996,0.40714285714285714,33.43251341132494,11.101549192085626,338.36785714285713
v,468214.8767440951,259118.1477091837,335408.27456383454,9480.427591453874,2036.7148305717078,0.5067857142857144,2.2,0.9796875,0.9933673469387753,45.16494598798579,0.9363095238095239,0.99,0.8957142857142858,73.55152950491488,24.42340822258838,744.4092857142857
